Brand_Product_Size,Brand_x,Brand_y,COL Price,WOW Price,COL ppu,WOW ppu
Latina Fresh Gluten Free Lasagne Sheets 280g,Latina,latina fresh,7.0,7.0,$2.50 per 100G,$2.50 / 100G
Latina Fresh Italian Tomato & Garlic Pasta Sauce 425g,Latina,latina fresh,6.0,4.0,$1.41 per 100G,$0.94 / 100G
Latina Fresh Kids Mini Ravioli Beef & Vegetable 200g,Latina,latina fresh,4.5,4.5,$2.25 per 100G,$2.25 / 100G
Latina Fresh Lasagne Sheets 375g,Latina,latina fresh,3.5,5.0,$0.93 per 100G,$1.33 / 100G
Latina Fresh Roast Chicken & Garlic Ravioli 625g,Latina,latina fresh,8.0,6.0,$1.28 per 100G,$0.96 / 100G
Latina Fresh Spinach & Ricotta Agnolotti 375g,Latina,latina fresh,4.0,6.5,$1.07 per 100G,$1.73 / 100G
Latina Fresh Spinach & Ricotta Agnolotti 625g,Latina,latina fresh,8.0,6.0,$1.28 per 100G,$0.96 / 100G
Latina Fresh Veal Tortellini 625g,Latina,latina fresh,8.0,6.0,$1.28 per 100G,$0.96 / 100G
Leggos Passata Sauce Italian Herbs 700g,Leggo's,leggos,2.8,3.2,$0.40 per 100G,$0.46 / 100G
Leggos Pasta Bake Creamy Tomato & Mozzarella 500g,Leggo's,leggos,3.0,3.0,$0.60 per 100G,$0.60 / 100G
Leggos Pasta Bake Tomato Ricotta & Spinach 500g,Leggo's,leggos,3.0,3.0,$0.60 per 100G,$0.60 / 100G
Leggos Pasta Sauce Bolognese Bacon 500g,Leggo's,leggos,3.3,3.0,$0.66 per 100G,$0.60 / 100G
Leggos Pasta Sauce Bolognese With Chunky Tomato Garlic & Herbs 500g,Leggo's,leggos,3.3,3.0,$0.66 per 100G,$0.60 / 100G
Leggos Pasta Sauce Carbonara 490g,Leggo's,leggos,3.3,3.0,$0.67 per 100G,$0.61 / 100G
Leggos Pesto Sundried Tomato 190g,Leggo's,leggos,3.0,4.6,$1.58 per 100G,$2.42 / 100G
Leggos Pesto Traditional Basil 190g,Leggo's,leggos,3.0,4.6,$1.58 per 100G,$2.42 / 100G
Leggos Stir Through Tomato Garlic & Caramelised Onion 350g,Leggo's,leggos,3.0,4.0,$0.86 per 100G,$1.14 / 100G
Leggos Tomato Paste 500g,Leggo's,leggos,4.0,4.0,$0.80 per 100G,$0.80 / 100G
Leggos Tomato Paste No Added Salt Sachets 200g,Leggo's,leggos,2.3,2.3,$1.15 per 100G,$1.15 / 100G
Leggos Tomato Paste Squeeze 400g,Leggo's,leggos,3.4,3.85,$0.85 per 100G,$0.96 / 100G
Leggos Tomato Puree 410g,Leggo's,leggos,1.8,1.8,$0.44 per 100G,$0.44 / 100G
Lenny & Larry The Complete Cookie Chocolate Chip 113g,Lenny And Larry's,lenny & larry,4.5,4.5,$3.98 per 100G,$3.98 / 100G
Lenny & Larry The Complete Cookie White Chocolaty Macadamia 113g,Lenny And Larry's,lenny & larry,4.5,4.5,$3.98 per 100G,$3.98 / 100G
Life Space Broad Spectrum Probiotic 40 pack,Life-Space,life space,27.0,22.0,$0.68 per 1Ea,$55.00 / 100EA
Life Space Probiotic For 60+ Years 40 pack,Life-Space,life space,27.0,22.0,$0.68 per 1Ea,$55.00 / 100EA
Lindt Lindor Double Chocolate Bag 123g,Lindor,lindt,6.0,6.0,$4.88 per 100G,$4.88 / 100G
Lindt Pralines Master Collection 184g,Pralines,lindt,20.0,15.0,$10.87 per 100G,$8.15 / 100G
Love'em Beef Jerky With Tomato Dog Treats 200g,Love' Em,love'em,4.0,5.0,$2.00 per 100G,$2.50 / 100G
Love'em Beef Liver Dog Treats 200g,Love' Em,love'em,9.5,8.0,$4.75 per 100G,$4.00 / 100G
Love'em Beef Straps Dog Treats 150g,Love' Em,love'em,3.0,3.0,$2.00 per 100G,$2.00 / 100G
Love'em Lamb Jerky With Rosemary Dog Treats ,Love' Em,love'em,4.0,5.0,$2.00 per 100G,$2.50 / 100G
Love'em Puppy Rewards Dog Treats 200g,Love' Em,love'em,5.0,6.0,$2.50 per 100G,$3.00 / 100G
Lovitt's Whistler Lorikeet Bars Tropical Fruit 100g,Whistler,lovitt's,3.5,3.5,$3.50 per 100G,$3.50 / 100G
Luv-a-duck Fresh Duck Breast Fillets 380g,Luv A Duck,luv-a-duck,14.0,14.0,$36.84 per 1Kg,$36.84 / 1KG
Luv-a-duck Peking Duck Pancake Kit 560g,Luv A Duck,luv-a-duck,14.5,17.5,$2.59 per 100G,$31.25 / 1KG
M&m's Pretzel 130g,Mars,m&m's,3.0,2.25,$2.31 per 100G,$1.73 / 100G
Magnum Tub Ice Cream Classic 440mL,Streets,magnum,9.0,9.0,$2.05 per 100mL,$2.05 / 100ML
Magnum Tub Ice Cream White 440mL,Streets,magnum,9.0,9.0,$2.05 per 100mL,$2.05 / 100ML
Maltesers Dark Chocolate 135g,Mars,maltesers,3.0,2.25,$2.22 per 100G,$1.67 / 100G
Marie Claire Magazine each,Magazine,marie claire,8.99,8.99,$8.99 per 1Ea,
Mary Mack's Instant Batter Mix 150g,Mary Macks,mary mack's,2.5,2.5,$0.17 per 10G,$0.17 / 10G
Maui Moisture Hibiscus Water Conditioner 385mL,Maui,maui moisture,22.0,22.0,$5.71 per 100mL,$5.71 / 100ML
Maui Moisture Hibiscus Water Shampoo 385mL,Maui,maui moisture,22.0,22.0,$5.71 per 100mL,$5.71 / 100ML
Mayver's Extra Crunchy Peanut Butter 375g,Mayvers,mayver's,5.0,4.0,$1.33 per 100G,$1.07 / 100G
Mayver's Hulled Tahini Spread 385g,Mayvers,mayver's,5.3,5.3,$1.38 per 100G,$1.38 / 100G
Mayver's Smunchy Protein Plus 5 Seeds Peanut Butter 375g,Mayvers,mayver's,5.5,4.5,$1.47 per 100G,$1.20 / 100G
Mayver's Smunchy Protein Plus Hemp Seed Peanut Butter 375g,Mayvers,mayver's,5.5,4.5,$1.47 per 100G,$1.20 / 100G
Mayver's Smunchy Skin On Peanut Butter 375g,Mayvers,mayver's,5.0,4.0,$1.33 per 100G,$1.07 / 100G
Mccormicks Grill Mates Smokin Texas Bbq Rub 40g,McCormick,mccormicks,2.0,1.5,$0.50 per 10G,$0.38 / 10G
Mccormicks Grill Mates Tennessee Smokehouse Bbq Rub 40g,McCormick,mccormicks,2.0,1.5,$0.50 per 10G,$0.38 / 10G
Mojo Hair Defining Paste 62g,Mojo,mojo hair,17.5,14.0,$27.34 per 100G,$22.58 / 100G
Monini Organic Extra Virgin Olive Oil 500mL,Moro Organico,monini,10.0,8.0,$2.00 per 100mL,$1.60 / 100ML
Moondarra Cream Cheese Honey & Pistachio 120g,Moondarra,,2.4,2.5,$2.00 per 100G,$20.83 / 1KG
Mount Franklin Lightly Sparkling Passionfruit 375mL x10 pack,Mt Franklin,mount franklin,13.75,7.9,$3.67 per 1L,$21.07 / 1L
Mrs H.s.ball's Chutney Original 470g,Mrs H S Balls,mrs h.s.ball's,5.0,5.0,$1.06 per 100G,$10.64 / 1KG
Mrs H.s.ball's Chutney Peach 470g,Mrs H S Balls,mrs h.s.ball's,5.0,5.0,$1.06 per 100G,$10.64 / 1KG
Mrs Macs Microwave Beef Pie 175g,Mrs Mac's,mrs macs,2.5,2.5,$1.43 per 100G,$1.43 / 100G
Mum Dry Anti Perspirant Deodorant Dry Active All Day 50mL,Mum Dry,mum,3.0,2.5,$6.00 per 100mL,$5.00 / 100ML
Nad's Natural Sugar Wax Kit 370g,Nads,nad's,15.0,15.0,$4.05 per 100G,$4.05 / 100G
Nature's Gift Adult Dog Food Gourmet Loaf Style Kangaroo Fillet Recipe 100g,Natures Gift,nature's gift,1.0,1.0,$1.00 per 100G,$1.00 / 100G
Natures Organics Fruits Conditioner Restore Coconut Lime 500mL,Nature's Organics,natures organics,1.9,1.9,$0.38 per 100mL,$0.38 / 100ML
Natures Organics Fruits Conditioner Shine Wild Berry 500mL,Nature's Organics,natures organics,1.9,1.9,$0.38 per 100mL,$0.38 / 100ML
Natures Organics Fruits Shampoo Restore Coconut Lime 500mL,Nature's Organics,natures organics,1.9,1.9,$0.38 per 100mL,$0.38 / 100ML
Natures Organics Fruits Shampoo Shine Wild Berry 500mL,Nature's Organics,natures organics,1.9,1.9,$0.38 per 100mL,$0.38 / 100ML
Nestle Soothers Throat Lozenges Liquid Centre Lemon Lime 10 pack,Soothers,nestle,2.2,2.0,$4.40 per 100G,$0.20 / 1EA
Nestle Uncle Tobys Muesli Bars Yoghurt & Honeycomb 185g,Uncle Tobys,nestle,2.15,4.3,$1.16 per 100G,$2.32 / 100G
New Idea Magazine each,Magazine,new idea,5.2,5.2,$5.20 per 1Ea,
No-doz Plus 24 tabLets,No Doz,no-doz,6.3,6.3,$0.26 per 1Ea,$0.26 / 1EA
Nong Shim Neoguri Noodle Soup Seafood & Spicy 120g,Nongshim,nong shim,1.8,1.85,$1.50 per 100G,$15.42 / 1KG
Olina's Gluten Free Cranberry Pumpkin Cracker 100g,Olina's Bakehouse,olina's,5.0,5.0,$5.00 per 100G,$5.00 / 100G
Olina's Lavosh Crackers Natural 100g,Olinas,olina's,4.0,3.5,$4.00 per 100G,$3.50 / 100G
Olina's Lavosh Crackers Rosemary & Sea Salt 100g,Olinas,olina's,4.0,3.5,$4.00 per 100G,$3.50 / 100G
Oral-b Gum Care & Bacteria Defence Mint Toothpaste 110g,Oral B,oral-b,10.0,7.0,$9.09 per 100G,$6.36 / 100G
Oral-b Gum Care & Intensive Clean Peppermint Toothpaste 110g,Oral B,oral-b,10.0,7.0,$9.09 per 100G,$6.36 / 100G
Oral-b Pro 100 Floss Action Electric Toothbrush each,Oral B,oral-b,70.0,70.0,$70.00 per 1Ea,$70.00 / 1EA
Oral-b Pro-health Advanced All Around Protection Toothpaste 110g,Oral B,oral-b,2.5,3.5,$2.27 per 100G,$3.18 / 100G
Oral-b Pro-health Advanced Gum Protect Toothpaste 110g,Oral B,oral-b,2.5,3.5,$2.27 per 100G,$3.18 / 100G
Oral-b Sensitivity & Gum All Day Protection Toothpaste Mint 90g,Oral B,oral-b,10.0,8.0,$11.11 per 100G,$8.89 / 100G
Oral-b Sensitivity & Gum Extra Fresh Breath Toothpaste Soft Mint 90g,Oral B,oral-b,10.0,8.0,$11.11 per 100G,$8.89 / 100G
Oxfam Fair Organic Fair Trade Ground World Blend Coffee 250g,Oxfam,oxfam fair,9.0,9.0,$3.60 per 100G,$3.60 / 100G
Paldo Dosirac Beef Noodles 86g,Paldo Dosirac,paldo,1.6,2.0,$1.86 per 100G,$2.33 / 100G
Pana Organic Hazelnut & Chocolate Spread 200g,Pana Organic,pana,9.0,7.0,$4.50 per 100G,$3.50 / 100G
Pana Organic Mint Chocolate 45g,Pana Organic,pana,6.0,4.8,$13.33 per 100G,$10.67 / 100G
Pana Organic Salted Caramel Dairy Free Ice Cream 475mL,Pana Organic,pana,11.0,11.0,$2.32 per 100mL,$2.32 / 100ML
Papa Giuseppi's Panini Tomato & Cheese 250g 2 pack,Dr.Oetker,papa giuseppi's,3.0,2.5,$1.20 per 100G,$1.00 / 100G
Papermate Kilometrico Pen Black 10 pack,Paper Mate,papermate,4.5,4.5,$0.45 per 1Ea,
Papermate Kilometrico Pen Blue 10 pack,Paper Mate,papermate,4.5,4.5,$0.45 per 1Ea,
Papermate Profile Pen Black 2 pack,Paper Mate,papermate,5.2,3.64,,$1.82 / 1EA
Papermate Profile Pen Blue 2 pack,Paper Mate,papermate,5.2,3.64,,$1.82 / 1EA
Passage To India Veg Curry Bowl Butter Masala With Rice 280g,Passage To India,passage to,5.5,5.5,$1.96 per 100G,$1.96 / 100G
Paul Newman's Dressings Creamy Caesar 250mL,Paul Newman's Own,paul newman's,4.0,4.0,$1.60 per 100mL,$1.60 / 100ML
Paul Newman's Dressings Ranch 250mL,Paul Newman's Own,paul newman's,4.0,4.0,$1.60 per 100mL,$1.60 / 100ML
Pepsi Max Creaming Soda Bottle 1.25L,Pepsi Max,pepsi,1.3,2.35,$1.04 per 1L,$1.88 / 1L
Phillips Avent Teats 6 Months+ Fast Flow 2 pack,Avent,phillips,10.0,10.0,$5.00 per 1Ea,$5.00 / 1EA
Pocky Strawberry Value Pack 8 pack,Glico Pocky,pocky,6.0,6.0,$3.57 per 100G,$3.57 / 100G
Prime Pantry Chicken Jerky Dog Treat 100g,Prime,prime pantry,5.45,5.0,$5.45 per 100G,$5.00 / 100G
Prime Pantry Kangaroo Jerky Dog Treat 100g,Prime,prime pantry,5.45,5.0,$5.45 per 100G,$5.00 / 100G
Provoke Touch Of Silver Toning Treatment Purple Mask 200mL,Provoke,provoke touch of silver,13.0,13.0,$6.50 per 100mL,$6.50 / 100ML
Queen Diamond Dates Pitted 250g,Queen's Diamond,queen diamond,2.2,1.1,$0.88 per 100G,$0.44 / 100G
Red Bull Winter Edition Glacier Ice 250mL,Red  Bull,red bull,3.0,3.0,$12.00 per 1L,$12.00 / 1L
Rosella Aristocrat Onions Cocktail Green 150g,Aristocrat,rosella,2.0,2.15,$13.33 per 1Kg,$14.33 / 1KG
S&b Curry Mix Golden Medium Hot 92g,S & B,s&b,4.5,4.5,$4.89 per 100G,$4.89 / 100G
S&b Golden Curry Mix Hot 92g,S & B,s&b,4.5,4.5,$4.89 per 100G,$4.89 / 100G
Sard Wonder Stain Remover Stick 100g,Sard,sard wonder,5.0,5.0,$50.00 per 1Kg,$50.00 / 1KG
Sard Wonder Super Power Soaker 900g,Sard,sard wonder,7.0,5.0,$0.78 per 100G,$5.56 / 1KG
Sealord Hoki Fillets Classic Crumb 480g,Sealord Hoki,sealord,9.5,7.5,$19.79 per 1Kg,$15.63 / 1KG
Sealord Hoki Fillets Lemon Pepper 480g,Sealord Hoki,sealord,9.5,7.5,$19.79 per 1Kg,$15.63 / 1KG
Sealord Hoki Fillets Tempura Battered 450g,Sealord Hoki,sealord,9.5,7.5,$21.11 per 1Kg,$16.67 / 1KG
Second House Mohalabiah Mix 200g,Second House Products,second house,3.0,2.8,$1.50 per 100G,$1.40 / 100G
Smith's Crinkle Cut Potato Chips Chicken 60g,Smiths,smith's,2.1,2.1,$3.50 per 100G,$3.50 / 100G
Smith's Crinkle Cut Tasty Cheese 150g,Smiths,smith's,3.5,1.75,$2.33 per 100G,$1.17 / 100G
Snickers Pods Chocolate Medium Bag 160g,Mars,snickers,3.0,2.25,$1.88 per 100G,$1.41 / 100G
Sniders Carmel Egg Noodles No 1 250g,Snider,sniders,2.85,3.65,$1.14 per 100G,$1.46 / 100G
Solo Mutti Cherry Tomatoes 400g,Mutti,solo,1.6,2.1,$4.00 per 1Kg,$5.25 / 1KG
Squid Brand Fish Sauce 300mL,Squid,squid brand,1.6,2.0,$0.53 per 100mL,$0.67 / 100ML
St.dalfour Strawberry Spread 284g,St Dalfour,st.dalfour,3.0,4.5,$1.06 per 100G,$1.58 / 100G
St.dalfour Thick Apricot Spread 284g,St Dalfour,st.dalfour,3.0,4.5,$1.06 per 100G,$1.58 / 100G
St.dalfour Wild Blueberry Spread 284g,St Dalfour,st.dalfour,3.0,4.5,$1.06 per 100G,$1.58 / 100G
Stagg Chili Southwest Style Chicken With Beans 425g,Stagg Chili,stagg,3.2,4.0,$0.75 per 100G,$0.94 / 100G
Stagg Dynamite Hot Chili With Beans 425g,Stagg Chili,stagg,3.2,4.0,$0.75 per 100G,$0.94 / 100G
Starbucks By Nespresso Blonde Espresso Roast Coffee Pods 10 pack,Starbucks,starbucks by nespresso,6.9,5.0,$0.69 per 1Ea,$0.50 / 1EA
Starbucks By Nespresso Single Origin Colombia Coffee Pods 10 pack,Starbucks,starbucks by nespresso,6.9,5.0,$0.69 per 1Ea,$0.50 / 1EA
Starbucks By Nespresso Single Origin Sumatra Coffee Pods 10 pack,Starbucks,starbucks by nespresso,6.9,5.0,$0.69 per 1Ea,$0.50 / 1EA
Stevia Sweet Granulated Jar 75g,Stevia Sweet,stevia,6.5,6.5,$8.67 per 100G,$8.67 / 100G
Streets Blue Ribbon Classic Chocolate Ice Cream 2L,Blue Ribbon,streets,4.9,4.9,$0.25 per 100mL,$0.25 / 100ML
Streets Blue Ribbon Light Vanilla Ice Cream 2L,Blue Ribbon,streets,4.9,4.9,$0.25 per 100mL,$0.25 / 100ML
Strepfen Intensive Throat Lozenges Honey & Lemon 16 pack,Strephen,strepfen,10.0,10.0,$0.63 per 1Ea,$0.63 / 1EA
Strepfen Intensive Throat Lozenges Sugar Free Orange 16 pack,Strephen,strepfen,10.0,10.0,$0.63 per 1Ea,$0.63 / 1EA
Sunbites Grain Waves Caramelised Onion & Balsamic 170g,Grain Waves Caramelised,sunbites,1.75,2.5,$1.03 per 100G,$1.47 / 100G
Suntory Boss Coffee Iced Latte 237mL,Boss,suntory,3.65,3.65,$15.40 per 1L,$15.40 / 1L
Suntory Boss Coffee Iced Long Black 237mL,Boss,suntory,3.65,3.65,$15.40 per 1L,$15.40 / 1L
Supercoat Adult True Origin Grain Free Chicken Dry Dog Food 2.5kg,Purina,supercoat,16.0,16.0,$6.40 per 1Kg,$0.64 / 100G
T.n. Dickinson's Toners Witch Hazel 240mL,T.N Dickinson's,t.n. dickinson's,7.0,7.0,$2.92 per 100mL,$2.92 / 100ML
Take 5 Magazine each,Magazine,take 5,3.9,3.9,$3.90 per 1Ea,
Tayto Cheese & Onion Crisps 45g,Tayto,,2.25,2.25,,$5.00 / 100G
Thankyou. Body Wash - Botanical Geranium & Rosewood 1L,Thankyou,thankyou.,9.1,13.0,$0.91 per 100mL,$1.30 / 100ML
Thankyou. Body Wash - Botanical Geranium & Rosewood 500mL,Thankyou,thankyou.,5.6,8.0,$1.12 per 100mL,$1.60 / 100ML
Thankyou. Body Wash Botanical Cedarwood 1L,Thankyou,thankyou.,9.1,13.0,$9.10 per 1L,$1.30 / 100ML
Thankyou. Body Wash Botanical Cedarwood 500mL,Thankyou,thankyou.,5.6,8.0,$1.12 per 100mL,$1.60 / 100ML
Thankyou. Botanical Mint & Spring Flowers Body Wash 1L,Thankyou,thankyou.,9.1,13.0,$0.91 per 100mL,$1.30 / 100ML
Thankyou. Milk Body Wash - Botanical Lemon Myrtle & Goat's Milk 1L,Thankyou,thankyou.,9.1,13.0,$9.10 per 1L,$1.30 / 100ML
Thankyou. Milk Hand Wash Botanical Lemon Myrtle & Goat's Milk 500mL,Thankyou,thankyou.,5.25,7.5,$1.05 per 100mL,$1.50 / 100ML
Thankyou. Sanitiser Hand & Surface Antibacterial Grapefruit 50mL,Thankyou,thankyou.,3.5,5.0,$7.00 per 100mL,$10.00 / 100ML
Thankyou. Soothing Body Bar With Oat Milk 100g,Thank You,thankyou.,2.45,3.5,$2.45 per 100G,$3.50 / 100G
The Chia Co. Chia Black Seeds 500g,The Chia Co,the chia co.,10.0,10.0,$2.00 per 100G,$2.00 / 100G
The Happy Snack Company Fav-va Beans Lightly Salted 6x25g,Happy Snack Company,the happy snack company,4.2,5.3,$2.80 per 100G,$3.53 / 100G
The Happy Snack Company Kids Fav-va Beans Pizza 10x15g,Happy Snack Company,the happy snack company,4.2,5.3,$2.80 per 100G,$3.53 / 100G
The Happy Snack Company Roasted Chickpeas Chocolate Salted Caramel 150g,Happy Snack Company,the happy snack company,5.2,6.5,$3.47 per 100G,$4.33 / 100G
The Natural Chip Co. Lentil Craves Sour Cream & Chives 100g,Natural Chip Co Chips,the natural chip co.,1.75,3.5,$1.75 per 100G,$3.50 / 100G
The Natural Confectionery Co. Berry Bliss Lollies 200g,The Natural Confectionary Co.,the natural confectionery co.,2.0,3.0,$1.00 per 100G,$1.50 / 100G
The Natural Confectionery Co. Fruit Basket Reduced Sugar Lollies 220g,The Natural Confectionary Co.,the natural confectionery co.,2.0,3.0,$0.91 per 100G,$1.36 / 100G
The Natural Confectionery Co. Party Mix Lollies 240g,The Natural Confectionary Co.,the natural confectionery co.,2.0,3.0,$0.83 per 100G,$1.25 / 100G
The Natural Confectionery Co. Party Mix Lollies 520g,The Natural Confectionary Co.,the natural confectionery co.,5.0,5.0,$0.96 per 100G,$0.96 / 100G
The Natural Confectionery Co. Smoothie Chews 220g bag,The Natural Confectionary Co.,the natural confectionery co.,2.0,3.0,$0.91 per 100G,$1.36 / 100G
The Natural Confectionery Co. Snakes Lollies 260g,The Natural Confectionary Co.,the natural confectionery co.,2.0,3.0,$0.77 per 100G,$1.15 / 100G
The Natural Confectionery Co. Snakes Lollies 520g,The Natural Confectionary Co.,the natural confectionery co.,5.0,5.0,$0.96 per 100G,$0.96 / 100G
The Natural Confectionery Co. Soft Jellies Fruit Salad Lollies 240g,The Natural Confectionary Co.,the natural confectionery co.,2.0,3.0,$0.83 per 100G,$1.25 / 100G
The Natural Confectionery Co. Sour Squirms Lollies 240g,The Natural Confectionary Co.,the natural confectionery co.,2.0,3.0,$0.83 per 100G,$1.25 / 100G
The Natural Cracker Co. Roast Chicken Crispy Crackers 160g,The Natural Cracker Co,the natural cracker co.,1.75,3.5,$1.09 per 100G,$2.19 / 100G
Thursday Plantation Tea Tree Antiseptic Liquid 300mL,Thurday,thursday plantation,8.0,8.0,$2.67 per 100mL,$2.67 / 100ML
Tiger Balm Red Extra Strength 18g,Tiger,tiger balm,8.3,8.3,$46.11 per 100G,$46.11 / 100G
Total Care Dog Shampoo Flea Control 350mL,Purina,total care,14.0,14.0,$40.00 per 1L,$4.00 / 100ML
Total Care Dog Shampoo Medicated Relief 350mL,Purina,total care,14.0,14.0,$40.00 per 1L,$4.00 / 100ML
Total Care Flea Powder For Dogs 200g,Purina,total care,9.0,9.0,$4.50 per 100G,$4.50 / 100G
Total Care Pet Bedding Fresh Spray 275mL,Purina,total care,12.0,12.0,$4.36 per 100mL,$4.36 / 100ML
Tru Blu Garlic Butter 150g,Tru-Blue,tru blu,3.0,3.0,$2.00 per 100G,$2.00 / 100G
Uncle Tobys Oat Slice Apple & Cinnamon 4 pack,Uncle Toby's,uncle tobys,5.5,2.75,$3.93 per 100G,$1.96 / 100G
V Energy Blue Sugar Free 250mL,V,v energy,2.8,2.8,$1.12 per 100mL,$11.20 / 1L
V Energy Drink Blue Can 250mL,V,v energy,2.8,2.8,$11.20 per 1L,$11.20 / 1L
V Energy Sugar Free Blue 500mL,V,v energy,3.15,3.15,$6.30 per 1L,$6.30 / 1L
V.i.p Adult Dog Food Roll Gourmet Chicken 3kg,V.I.P.,v.i.p,7.0,7.0,$0.23 per 100G,$0.23 / 100G
V8 Hot & Spicy Vegetable Juice 1.25L,Campbell's,v8,4.6,3.5,$3.68 per 1L,$2.80 / 1L
V8 Low Sodium Vegetable Juice 1.25L,Campbell's,v8,4.6,3.5,$3.68 per 1L,$2.80 / 1L
Vege Chips Deli Crisps Lentil Lightly Salted 100g,Vege,vege chips,2.75,5.5,$2.75 per 100G,$5.50 / 100G
Vege Chips Deli Crisps Original 100g,Vege,vege chips,2.75,5.5,$2.75 per 100G,$5.50 / 100G
Vege Chips Deli Crisps Purple Sweet Potato 100g,Vege,vege chips,2.75,5.5,$2.75 per 100G,$5.50 / 100G
Vege Chips Deli Crisps Turmeric & Cheese 100g,Vege,vege chips,2.75,5.5,$2.75 per 100G,$5.50 / 100G
Vege Chips Rice Crackers Sour Cream & Chives 75g,Ajitas,vege chips,3.8,1.9,$5.07 per 100G,$2.53 / 100G
Vege Chips Yellow Sweet Potato Deli Crisps 100g,Vege Deli Crisps,vege chips,2.75,5.5,$2.75 per 100G,$5.50 / 100G
Violet Crumble Bar 50g,Violet Crumble,,2.0,1.0,$4.00 per 100G,$2.00 / 100G
Vittoria Espressotoria Oro Coffee Capsules 12 pack,Espressotoria,vittoria,8.4,5.88,$0.70 per 1Ea,$0.49 / 1EA
Wai Wai Noodles Instant Tom Yum Shrimp 60g,Wai Wai Tom Yum Shrimp,wai wai,0.65,0.65,$1.08 per 100G,$1.08 / 100G
Wai Wai Rice Vermicelli Large 500g,Wai Wai Rice,wai wai,2.75,2.6,$0.55 per 100G,$0.52 / 100G
Wattie's Baked Beans In Tomato Sauce 420g,Watties,wattie's,1.2,1.55,$0.29 per 100G,$0.37 / 100G
Weet-bix Little Kids Essentials Breakfast Cereal 400g,Sanitarium,weet-bix,4.0,4.0,$1.00 per 100G,$1.00 / 100G
Westmont Pickles Chilli 500g,Westmont,westmont pickles,6.5,6.5,$13.00 per 1Kg,$1.30 / 100G
Westmont Pickles Dill Sour 500g,Westmont,westmont pickles,6.5,6.5,$13.00 per 1Kg,$1.30 / 100G
Whittaker's Peanut Slab Milk Chocolate 50g bar,Whittakers,whittaker's,1.0,2.0,$2.00 per 100G,$4.00 / 100G
Who Magazine each,Magazine,who,5.5,5.5,$5.50 per 1Ea,
Wizz Fizz Sherbet Cones 5 pack,Fyna,wizz fizz,2.0,2.0,$3.08 per 100G,$2.86 / 100G
Wizz Fizz Sherbet Original 8 pack,Fyna,wizz fizz,2.0,2.0,$0.25 per 1Ea,$2.00 / 100G
Woman's Day Magazine each,Magazine,woman's day,5.2,5.2,$5.20 per 1Ea,
Yehda Gefilte Fish Original 679g,Yehuda,yehda,12.5,14.0,$18.38 per 1Kg,$2.06 / 100G
Yeo's Drink Lychee 300mL,Yeo's Lychee,yeo's,0.8,0.8,$2.67 per 1L,$0.27 / 100ML
Yeo's Satay Sauce Satay Bbq 250mL,Yeo's Satay,yeo's,3.3,4.0,$1.32 per 100mL,$1.60 / 100ML
