Brand_Product_Size,IGA Price,WOW Price,IGA Category,WOW Category,WOW Specials
Mildura Orange & Passionfruit Fruit Drink 3L,4.55,4.95,Drinks,Drinks,
Farmers Union Natural Greek Style Yogurt 500g,4.3,4.3,Dairy Eggs & Fridge,Dairy Eggs & Fridge,
Red Bull Energy Drink 473mL,4.6,4.85,Drinks,Drinks,
Bundaberg Ginger Beer 750mL,3.45,3.15,Drinks,Drinks,
Pepsi Bottle 1.25L,2.55,2.35,Drinks,Drinks,
Birds Eye Mashed Potato 1kg,5.55,4.0,Frozen,Frozen,Specials
Mccain Superfries Shoestring 900g,3.35,3.3,Frozen,Frozen,
Patties Party Pies 12 pack,9.45,8.5,Frozen,Frozen,
Sara Lee Family Pies & Desserts Apple Pie 600g,6.95,5.0,Frozen,Frozen,Specials
Mccain Lasagne 400g,4.5,3.5,Frozen,Frozen,Specials
Four'n Twenty Pies Beef & Cheese 700g,7.2,6.5,Frozen,Frozen,
Frantelle Still Water 1.5L,1.15,1.15,Drinks,Drinks,
Birds Eye Potato Gems 1kg,4.3,4.3,Frozen,Frozen,
Mccain Frozen Peas 500g,2.0,2.0,Frozen,Frozen,
Four'n Twenty Pies Chicken & Vegetable 4 pack,7.2,6.5,Frozen,Frozen,
Birds Eye Country Harvest Peas Corn & Capsicum 500g,2.9,2.6,Frozen,Frozen,
Peters Drumstick Chocolate Mint 4 pack,8.4,8.4,Frozen,Frozen,
Weis Ice Cream Mango & Cream 4 pack,8.35,5.5,Frozen,Frozen,Specials
Peters Drumstick Super Chocolate 4 pack,8.4,8.4,Frozen,Frozen,
Peters Frosty Fruits Tropical 8 pack,7.8,7.0,Frozen,Frozen,
Palmolive Naturals Replenishing Bar Soap Milk & Honey 90g x4 pack,2.5,2.85,Health & Beauty,Health & Beauty,
Peters Original Vanilla 4L,9.5,9.4,Frozen,Frozen,
Connoisseur Ice Cream Cookies & Cream 1L tub,11.0,11.0,Frozen,Frozen,
Peters Light & Creamy Classic Vanilla Ice Cream 1.8L,5.0,5.0,Frozen,Frozen,
Nanna's Multipack Pies & Desserts Apple Pie 4 pack,4.45,4.0,Frozen,Frozen,
Peters Original Neapolitan 4L,9.5,9.4,Frozen,Frozen,
Palmolive Naturals Balanced & Mild Bar Soap Chamomile Extracts 90g x4 pack,2.5,2.85,Health & Beauty,Health & Beauty,
Gaviscon Dual Action Heartburn & Indigestion Chewable Tablets 32 pack,11.65,10.5,Health & Beauty,Health & Beauty,
Nanna's Family Pies & Desserts Apple Pie 600g,4.45,4.0,Frozen,Frozen,
Mitchum Women's Roll On Powder Fresh Antiperspirant & Deodorant 50mL,3.2,3.8,Health & Beauty,Health & Beauty,
Gaviscon Dual Action Heartburn & Indigestion Liquid Peppermint 600mL,17.45,15.7,Health & Beauty,Health & Beauty,
Schick Razor Disposable Quattro 4 Aloe & Vitamin E 3 pack,6.0,6.0,Health & Beauty,Health & Beauty,
Gaviscon Dual Action Heartburn & Indigestion Liquid Peppermint 300mL,9.65,8.7,Health & Beauty,Health & Beauty,
Sara Lee Sticky Date Pudding 475g,6.25,6.25,Frozen,Frozen,
Mclintocks Vanilla Fresh Fridge Wipe & Deodorizer 500mL,5.3,4.75,Household,Household,
Nanna's Apple Crumble 550g,4.45,4.0,Frozen,Frozen,
Aspro Clear Pain Relief Soluble Tablets 24 pack,4.5,5.0,Health & Beauty,Health & Beauty,
Gaviscon Dual Action Heartburn & Indigestion Chewable Tablets 16 pack,6.35,5.7,Health & Beauty,Health & Beauty,
Earth Choice Dishwashing Liquid Green Tea & Lime 500mL,3.35,3.0,Household,Household,
Birds Eye Oven Bake Crumbed 425g,11.1,10.0,Frozen,Frozen,
Libra Goodnights Pads 10 pack,3.8,2.9,Health & Beauty,Health & Beauty,Specials
Lucas' Papaw Lip Care Ointment 25g,6.65,6.0,Health & Beauty,Health & Beauty,
Earth Choice Fabric Softener 1L,2.2,2.0,Household,Household,
Earth Choice Shower Cleaner 600mL,4.6,4.15,Household,Household,
Strepsils Soothing Honey & Lemon Lozenge 16 pack,5.5,5.5,Health & Beauty,Health & Beauty,
Sorbent Flushable Wipes Clean & Fresh Refill 40 pack,3.5,3.5,Household,Household,
Earth Choice Top & Front Loader 1L,2.6,2.4,Household,Household,
Birds Eye Fish Fingers 1kg,10.0,10.0,Frozen,Frozen,
Clr Multipurpose Cleaner - Calcium Limescale & Rust 750mL,15.35,13.8,Household,Household,
Earth Choice Wool Wash 1L,2.45,2.2,Household,Household,
Energizer Max Aa Batteries 4 pack,5.5,5.5,Household,Household,
Omo Active Clean Laundry Liquid Detergent Front & Top Loader 2L,24.45,15.4,Household,Household,Specials
Easy-off Bam Soap Scum & Shine Trigger 500mL,5.55,5.0,Household,Household,
Dishmatic Handle each,4.45,4.0,Household,Household,
Glad Cling Wrap 30m,3.0,2.7,Household,Household,
Chux Original Superwipes 10 pack,4.0,4.0,Household,Household,
Sunbeam Raisins 375g,5.45,4.9,Pantry,Pantry,
Sunbeam Mixed Fruit 375g,5.2,3.75,Pantry,Pantry,Specials
Energizer Max Aaa Batteries 8 pack,10.0,10.0,Household,Household,
Glad Cling Wrap 60m,4.5,4.5,Household,Household,
Sunbeam Sultanas 375g,4.45,4.0,Pantry,Pantry,
Sunbeam Sultanas & Apricot 6x37g,3.0,2.4,Pantry,Pantry,Specials
Scotch-brite Heavy Duty Scourer & Sponge 3 pack,3.65,4.5,Household,Household,
Bostik Blu-tack 75g ,2.8,4.0,Household,Household,
Eveready Gold Aa Batteries 10 pack,8.0,8.0,Household,Household,
Nestle Plaistowe Cooking Chocolate 70% Cocoa 200g,4.45,4.0,Pantry,Pantry,
Mckenzie's Acid Citric 75g,2.8,2.25,Pantry,Pantry,
Mckenzie's Cream Of Tartar 125g,4.0,3.4,Pantry,Pantry,
White Wings Self Raising Flour 1kg,3.0,2.5,Pantry,Pantry,Specials
Nestle Bakers' Choice Milk Choc Melts 290g,4.3,3.85,Pantry,Pantry,
Nestle Bakers' Choice Dark Choc Bits 200g,4.4,3.95,Pantry,Pantry,
Nestle Bakers' Choice White Choc Bits 200g,4.4,3.95,Pantry,Pantry,
Cadbury Bournville Cocoa 250g,5.45,4.9,Pantry,Pantry,
Krummies Breadcrumbs 375g,3.35,3.0,Pantry,Pantry,
Betty Crocker Vanilla Frosting 400g,4.45,4.0,Pantry,Pantry,
Csr Caster Sugar 1kg,2.8,2.0,Pantry,Pantry,Specials
Csr Brown Sugar 500g,2.2,2.15,Pantry,Pantry,
Csr Brown Sugar 1kg,3.75,3.75,Pantry,Pantry,
Arnott's Kingston Creams 200g,3.0,2.0,Pantry,Pantry,Specials
Arnott's Custard Creams 250g,3.0,2.0,Pantry,Pantry,Specials
Csr White Sugar 2kg,2.4,2.4,Pantry,Pantry,
Arnott's Monte Carlo 250g,3.0,2.0,Pantry,Pantry,Specials
Arnott's Nice 250g,2.3,2.3,Pantry,Pantry,
Arnott's Family Assorted 500g,4.0,4.0,Pantry,Pantry,
Csr White Sugar 1kg,1.75,1.2,Pantry,Pantry,Specials
Csr Raw Sugar 1kg,2.3,2.3,Pantry,Pantry,
Nestle Bakers' Choice Milk Choc Bits 200g,4.4,3.95,Pantry,Pantry,
Arnott's Milk Coffee 250g,2.3,2.3,Pantry,Pantry,
Arnott's Assorted Cream Biscuits 500g,5.5,5.5,Pantry,Pantry,
Arnott's Tina Wafers 250g,3.4,2.5,Pantry,Pantry,Specials
Arnott's Scotch Finger 250g,3.0,2.0,Pantry,Pantry,Specials
Mckenzie's Rice Flour 375g,1.65,1.5,Pantry,Pantry,
Arnott's Marie Biscuits 250g,2.3,2.3,Pantry,Pantry,
Sunbeam Sultanas 1kg,9.35,8.4,Pantry,Pantry,
Arnott's Chocolate Ripple 250g,3.0,3.0,Pantry,Pantry,
Arnott's Milk Arrowroot 250g,2.3,2.3,Pantry,Pantry,
Arnott's Malt O' Milk 250g,3.0,3.0,Pantry,Pantry,
Arnott's Butternut Snap Cookie 250g,3.0,3.0,Pantry,Pantry,
Arnott's Raspberry Shortcake 250g,3.0,2.0,Pantry,Pantry,Specials
Arnott's Biscuit Orange Slice 250g,3.0,2.0,Pantry,Pantry,Specials
Arnott's Delta Creams 250g,3.0,2.0,Pantry,Pantry,Specials
Oreo Cookie Original 133g,2.2,1.5,Pantry,Pantry,Specials
Arnott's Triple Wafers 200g,3.4,2.5,Pantry,Pantry,Specials
Multix Green Recycled Alfoil 30cm X 10m each,2.0,3.0,Household,Household,
Tandaco Dry Yeast 5 pack 35g,2.3,2.4,Pantry,Pantry,
Kellogg's Just Right Apricot & Sultana Cereal 460g,5.9,5.9,Pantry,Pantry,
Carman's Classic Fruit & Nut Muesli 500g,6.65,4.5,Pantry,Pantry,Specials
Edgell Red Kidney Beans 400g,1.65,1.5,Pantry,Pantry,
Arnott's Lemon Crisp 250g,3.0,2.0,Pantry,Pantry,Specials
Edgell Chickpeas 400g,1.65,1.5,Pantry,Pantry,
Edgell Four Bean Mix 400g,1.65,1.5,Pantry,Pantry,
Edgell Black Beans 400g,1.65,1.5,Pantry,Pantry,
Morning Sun Muesli Natural Style 97% Fat Free 650g,3.6,3.5,Pantry,Pantry,
Edgell Lentils 400g,1.65,1.5,Pantry,Pantry,
Goulburn Valley Apricot 700g,3.7,3.7,Pantry,Pantry,
Spam Ham Hot & Spicy 340g,6.1,4.0,Pantry,Pantry,Specials
Goulburn Valley Plums 700g,4.1,3.7,Pantry,Pantry,
Kellogg's Just Right Apricot & Sultana Cereal 790g,8.5,8.5,Pantry,Pantry,
Cadbury Freddo Biscuit 167g,3.35,3.0,Pantry,Pantry,
Sanitarium Up&go Liquid Breakfast Choc Ice 6 pack,9.7,9.7,Pantry,Pantry,
John West Salmon Tempters Onion & Tomato 95g,2.55,2.7,Pantry,Pantry,
Sanitarium Up&go Liquid Breakfast No Added Sugar Choc Ice 3x250mL,5.15,4.95,Pantry,Pantry,
Goulburn Valley Two Fruits 700g,3.7,3.7,Pantry,Pantry,
Greenseas Tuna Tomato & Onion 95g,2.2,1.7,Pantry,Pantry,Specials
John West Tempters Tuna Onion & Tomato Savoury Sauce 95g,2.3,1.15,Pantry,Pantry,Specials
Morning Sun Muesli Natural Style Apricot & Almond 650g,3.6,3.5,Pantry,Pantry,
Edgell Peas & Carrots Peas & Carrots 420g,2.2,1.5,Pantry,Pantry,Specials
Tom Piper Beef Braised Steak & Onions 400g,3.0,3.0,Pantry,Pantry,
John West Tuna Sweet Corn & Mayonnaise 95g,2.3,1.15,Pantry,Pantry,Specials
Edgell Creamed Corn Creamed 420g,1.5,1.5,Pantry,Pantry,
Saxa Iodised Salt 750g,2.95,2.95,Pantry,Pantry,
John West Tempters Tuna Lemon & Cracked Pepper 95g,2.3,1.15,Pantry,Pantry,Specials
Gravox Gravy Liquid Lamb & Rosemary 250g,2.2,2.85,Pantry,Pantry,
Saxa Iodised Table Salt 125g,2.2,2.0,Pantry,Pantry,
Holbrooks Sauce Worcestershire 250mL,3.65,3.3,Pantry,Pantry,
Holbrooks Sauce Worcestershire 500mL,6.1,5.5,Pantry,Pantry,
Three Threes Pickles Mustard 520g,2.35,3.0,Pantry,Pantry,
S&w Mayonnaise Whole Egg 440g,6.65,6.0,Pantry,Pantry,
Maggi Oyster Sauce 275mL,3.35,3.0,Pantry,Pantry,
Dolmio Extra Red Wine & Italian Herbs Tomato Pasta Sauce 500g,3.29,2.9,Pantry,Pantry,Specials
Masterfoods Barbecue Sauce 500mL,2.95,1.47,Pantry,Pantry,Specials
Dolmio Extra Tomato Onion & Roast Garlic Pasta Sauce 500g,3.29,2.9,Pantry,Pantry,Specials
Leggos Stir Through Sundried Tomato & Garlic 350g,4.45,4.0,Pantry,Pantry,
Kan Tong Pineapple Sweet & Sour Stir Fry Sauce 515g,3.65,3.0,Pantry,Pantry,Specials
Foster Clark's Custard Powder 350g,1.9,2.2,Pantry,Dairy Eggs & Fridge,
Masterfoods Tomato Sauce 500mL,2.95,1.47,Pantry,Pantry,Specials
Kikkoman Soy Sauce 150mL,4.45,3.7,Pantry,Pantry,Specials
Praise 99% Fat Free Mayonnaise 410g,3.4,3.0,Pantry,Pantry,Specials
Chicken Tonight Simmer Sauce Honey & Mustard 485g,2.5,2.5,Pantry,Pantry,
Masterfoods Honey Garlic & Soy Marinade 375g,2.5,2.5,Pantry,Pantry,
Green's Maple Flavoured Syrup 375g,2.9,3.2,Pantry,Pantry,
Leggos Pasta Bake Creamy Tomato & Mozzarella 500g,3.35,3.0,Pantry,Pantry,
Continental Pasta & Sauce Creamy Bacon Carbonara 85g,2.2,1.6,Pantry,Pantry,Specials
Continental Rice Oriental 115g,2.2,1.6,Pantry,Pantry,Specials
Mission Naan Bread Garlic & Herb 4 pack,3.8,3.8,Pantry,Pantry,
Continental Pasta & Sauce Sour Cream & Chives 85g,2.2,1.6,Pantry,Pantry,Specials
Continental Pasta & Sauce Alfredo 85g,2.2,1.6,Pantry,Pantry,Specials
Chang's Fried Noodles 100g,1.4,1.4,Pantry,Pantry,
Continental Pasta & Sauce Macaroni Cheese 105g,2.2,1.6,Pantry,Pantry,Specials
Leggos Pasta Sauce Bolognese With Chunky Tomato Garlic & Herbs 500g,3.35,3.0,Pantry,Pantry,Specials
Kraft Mac N Cheese Original 205g,3.2,2.9,Pantry,Pantry,
Csr Golden Syrup 850g,6.65,4.75,Pantry,Pantry,Specials
Vegemite Spread 380g,6.5,6.5,Pantry,Pantry,
Old El Paso Refried Beans 435g,3.35,3.0,Pantry,Pantry,
Continental Pasta & Sauce Chicken Curry 90g,2.2,1.6,Pantry,Pantry,Specials
Vegemite Spread 560g,8.9,8.35,Pantry,Pantry,
Nisshin Panko Breadcrumbs 200g,5.9,5.0,Pantry,Pantry,
Riviana Arborio Rice 1kg,4.2,3.8,Pantry,Pantry,
Sunrice Basmati Rice 1kg,2.5,4.6,Pantry,Pantry,
Old El Paso Mild Salsa Thick & Chunky 375g,4.95,3.5,Pantry,Pantry,Specials
Nestle Uncle Tobys Muesli Bars Yoghurt & Honeycomb 185g,4.3,4.3,Pantry,Pantry,
Cadbury Favourites 570g,22.2,20.0,Pantry,Pantry,
Nice & Natural Nut Bar Chocolate 6 pack,3.0,2.0,Pantry,Pantry,Specials
Cadbury Favourites 373g,14.0,7.0,Pantry,Pantry,Specials
Ferrero Rocher Chocolates 16 pack,14.0,13.5,Pantry,Pantry,
Nice & Natural Nut Bar Yoghurt 6 pack,3.0,2.0,Pantry,Pantry,Specials
Uncle Tobys Muesli Bars Yoghurt & Strawberry 6 pack,4.3,4.3,Pantry,Pantry,
Cadbury Dairy Milk Fruit & Nut 180g,5.0,3.5,Pantry,Pantry,Specials
Vegemite Spread 150g,3.5,3.5,Pantry,Pantry,
Nice & Natural Nut Bar Trail Mix 6 pack,3.0,2.0,Pantry,Pantry,Specials
Cadbury Old Gold Dark Chocolate 70% Cocoa 180g,5.0,4.5,Pantry,Pantry,Specials
Cadbury Creamy Hazelnut Crunch 170g,5.0,3.5,Pantry,Pantry,Specials
Fantastic Delites Snacks Sea Salt & Balsamic Vinegar 100g,2.2,1.5,Pantry,Pantry,Specials
Fantastic Rice Crackers Sweet Chilli & Sour Cream 100g,2.0,1.5,Pantry,Pantry,Specials
Ritz Crackers Original 300g,3.35,2.5,Pantry,Pantry,Specials
M&m's Chocolate Medium Party Share Bag 12 Piece 162g,5.0,3.0,Pantry,Pantry,Specials
Sunrice Rice Cakes Thin Sour Cream & Chives 195g,3.0,2.7,Pantry,Pantry,
Cheezels Cheese Box 125g,2.8,1.25,Pantry,Pantry,Specials
Ryvita Original 250g,3.15,1.42,Pantry,Pantry,Specials
Arnott's Cheds 250g,4.0,3.0,Pantry,Pantry,Specials
Fantastic Delites Snacks Sour Cream & Chives 100g,2.2,1.5,Pantry,Pantry,Specials
Pringles Salt & Vinegar Flavour Chips 134g,4.45,3.0,Pantry,Pantry,Specials
Arnott's Country Cheese 250g,4.0,3.0,Pantry,Pantry,Specials
Captain's Table Water Cracker 125g,1.8,1.8,Pantry,Pantry,
Lifesavers Musk 34g,1.2,0.9,Pantry,Pantry,Specials
Lifesavers Fruit Tingles 34g,1.2,0.9,Pantry,Pantry,Specials
Cadbury Chomp 30g bar,0.85,0.8,Pantry,Pantry,Specials
Allen's Party Mix Lollies Bag Variety 190g,3.0,3.0,Pantry,Pantry,
Allen's Retro Party Mix Lollies Bag 190g,3.0,3.0,Pantry,Pantry,
Mentos Fruit Chews 37.5g roLL,1.55,1.0,Pantry,Pantry,Specials
Tic Tac Orange 24g,2.0,2.0,Pantry,Pantry,
Cadbury Dairy Milk Freddo Frog 35g,1.1,0.8,Pantry,Pantry,Specials
Allen's Strawberry & Cream Lollies Bag 190g,3.0,3.0,Pantry,Pantry,
Mentos Mints 37.5g roLL,1.55,1.0,Pantry,Pantry,Specials
Allen's Snakes Alive Jelly Lolly Bag 200g,3.0,3.0,Pantry,Pantry,
Allen's Jelly Beans Lollies Bag 190g,3.0,3.0,Pantry,Pantry,
Allen's Ripe Raspberries Lollies Bag 190g,3.0,3.0,Pantry,Pantry,
Campbell's Canned Soup Split Pea & Ham 420g,1.8,1.7,Pantry,Pantry,
Allen's Killer Python Jelly Lolly Bag 192g,3.0,3.0,Pantry,Pantry,
Campbell's Canned Soup Cream Of Chicken & Corn 420g,1.8,1.7,Pantry,Pantry,
Kinder Surprise Chocolate Egg 20g,2.2,2.2,Pantry,Pantry,
Allen's Minties Mint Chew Lollies Bag 150g,3.0,3.0,Pantry,Pantry,
Continental Cup A Soup Creamy Chicken & Corn With Croutons 2 pack,2.1,1.05,Pantry,Pantry,Specials
Mckenzie's Dried Veg Pearl Barley 500g,1.9,1.45,Pantry,Pantry,Specials
Chupa Chups Lollipop 12g singLe,0.5,0.5,Pantry,Pantry,
Allen's Frogs Alive Lollies Bag 190g,3.0,3.0,Pantry,Pantry,
Campbell's Chunky Canned Soup Beef Hearty & Filling 505g,3.5,1.75,Pantry,Pantry,Specials
Campbell's Country Ladle Canned Soup Chicken & Sweet Corn 505g,3.9,1.75,Pantry,Pantry,Specials
Tic Tac Peppermint 24g,2.0,2.0,Pantry,Pantry,
Mckenzie's Dried Veg Yellow Split Peas 500g,1.9,1.45,Pantry,Pantry,Specials
Continental Cup A Soup Hearty Pea & Ham 2 pack,2.1,1.05,Pantry,Pantry,Specials
Heinz Big N Chunky Canned Soup Beef & Vegetable 535g,2.5,2.0,Pantry,Pantry,Specials
Mckenzie's Dried Green Split Peas 500g,1.9,1.45,Pantry,Pantry,Specials
Mckenzie's Soup Mix 500g,1.9,1.45,Pantry,Pantry,Specials
Optimum Small Breed With Chicken Vegetables & Rice Dry Dog Food 3kg,19.0,13.0,Pet,Pet,Specials
Dine Saucy Morsels With Tuna Mornay & Cheese Wet Cat Food Tray 85g,1.0,0.8,Pet,Pet,Specials
Heinz Classic Canned Soup Pea & Ham 535g,2.5,2.0,Pantry,Pantry,Specials
My Dog Adult Wet Dog Food Chicken & Turkey Banquet Can 400g,2.45,1.8,Pet,Pet,Specials
My Dog Chicken Supreme With Cheese & Toppings Wet Dog Food Tray 100g,1.5,1.0,Pet,Pet,Specials
White Wings Cornflour 300g,3.0,2.7,Pantry,Pantry,
Nestle Aero Peppermint 40g bar,2.2,1.0,Pantry,Pantry,Specials
Golden Crumpets Round Wholemeal 6 pack,3.7,1.85,Bakery,Bakery,Specials
Kettle Honey Soy Chicken 175g,5.15,3.25,Pantry,Pantry,Specials
Snickers Pods Chocolate Medium Bag 160g,4.7,2.25,Pantry,Pantry,Specials
Fantastic Beef Noodle Bowl 85g,1.8,1.0,Pantry,Pantry,Specials
Thins Chips Original 175g,3.9,3.5,Pantry,Pantry,
Thins Chips Chicken 175g,3.9,3.5,Pantry,Pantry,
Fantastic Chicken Noodle Cup 70g,1.8,1.0,Pantry,Pantry,Specials
Coon Cheese Slices Tasty 250g,6.65,6.0,Dairy Eggs & Fridge,Dairy Eggs & Fridge,
Powerade Mountain Blast Flo Cap 600mL,4.05,2.2,Drinks,Drinks,Specials
Powerade Lemon Lime Flo Cap 600mL,4.05,2.2,Drinks,Drinks,Specials
Mckenzie's Lentils Red 375g,2.55,2.3,Pantry,Pantry,
Powerade Gold Rush Flo Cap 600mL,4.05,2.2,Drinks,Drinks,Specials
Barista Bros Iced Chocolate 500mL,3.45,3.2,Drinks,Dairy Eggs & Fridge,
Barista Bros Double Expresso 500mL,3.45,3.2,Drinks,Dairy Eggs & Fridge,
Mission Wraps Original 8 pack,5.55,4.0,Bakery,Bakery,Specials
Bundaberg Ginger Beer 4x375mL,6.95,6.35,Drinks,Drinks,
Lynx For Men Shower Gel Black 400mL,6.65,4.0,Health & Beauty,Health & Beauty,Specials
Fantastic Chicken Noodle Bowl 85g,1.8,1.0,Pantry,Pantry,Specials
Powerade Blackcurrant Flo Cap 600mL,4.05,2.2,Drinks,Drinks,Specials
Monster Energy Drink 500mL,3.95,2.75,Drinks,Drinks,Specials
Maximus Blue Bring It On 1L,3.55,2.15,Drinks,Drinks,Specials
Powerade Berry Ice Flo Cap 600mL,4.05,2.2,Drinks,Drinks,Specials
Thins Chips Salt & Vinegar 175g,3.9,3.5,Pantry,Pantry,
Patties Party Pack 1.25kg,17.8,15.5,Frozen,Frozen,
Mars Pods Chocolate Medium Bag 160g,4.7,2.25,Pantry,Pantry,Specials
Patties Party Pack Mini Pies & Sausage Rolls 1kg,17.8,15.5,Frozen,Frozen,
Fantastic Beef Noodle Cup 70g,1.8,1.0,Pantry,Pantry,Specials
Kettle Chilli Chips 175g,5.15,3.25,Pantry,Pantry,Specials
Kettle Sweet Chilli & Sour Cream 175g,5.15,3.25,Pantry,Pantry,Specials
Kettle Sea Salt & Vinegar Chips 175g,5.15,3.25,Pantry,Pantry,Specials
Kettle Original Sea Salt Chips 175g,5.15,3.25,Pantry,Pantry,Specials
Nestle Milkybar 50g bar,2.2,1.0,Pantry,Pantry,Specials
Nestle Chokito 55g bar,2.2,1.0,Pantry,Pantry,Specials
Nestle Smarties 50g box,2.2,1.0,Pantry,Pantry,Specials
Nestle Peppermint Crisp 35g bar,2.2,1.0,Pantry,Pantry,Specials
Thins Chips Light & Tangy 175g,3.9,3.5,Pantry,Pantry,
