SKU,Brand_Product_Size,Brand,Product Name,COL Price,COL ppu,COL Size,COL Specials,COL Category,Product URL
3561321P,L&P Soft Drink Can 440mL,L&P,Soft Drink Can,2.4,$0.55 per 100mL,440mL,,International Foods,https://shop.coles.com.au/a/national/product/l-p-soft-drink-can
3453318P,Jelly B Drinkable Konjac Jelly  Watermelon Flavour 150mL,Jelly B,Drinkable Konjac Jelly  Watermelon Flavour,2.7,$1.80 per 100mL,150mL,Specials,International Foods,https://shop.coles.com.au/a/national/product/jelly-b-konjac-jelly-watermelon-3453318p
3843753P,Tuscanini Tomato Juice 1L,Tuscanini,Tomato Juice,4.8,$0.48 per 100mL,1L,,International Foods,https://shop.coles.com.au/a/national/product/tuscanini-tomato-juice-3843753p
9888732P,Cortas Lemon Juice Substitute 1L,Cortas,Lemon Juice Substitute,3.0,$3.00 per 1L,1L,,International Foods,https://shop.coles.com.au/a/national/product/cortas-juice-lemon
3642853P,Jelly B Drinkable Konjac Jelly Blueberry Flavour 150mL,Jelly B,Drinkable Konjac Jelly Blueberry Flavour,2.7,$1.80 per 100mL,150mL,Specials,International Foods,https://shop.coles.com.au/a/national/product/yacoya-jelly-b-drinkable-konjac-jelly-blueberry
3642875P,Jelly B Drinkable Konjac Jelly Mango Flavour 150mL,Jelly B,Drinkable Konjac Jelly Mango Flavour,2.7,$1.80 per 100mL,150mL,Specials,International Foods,https://shop.coles.com.au/a/national/product/yacoya-jelly-b-drinkable-konjac-jelly-mango
7477941P,Kedem Concord Grape Juice 946mL,Kedem,Concord Grape Juice,9.0,$9.51 per 1L,946mL,,International Foods,https://shop.coles.com.au/a/national/product/kedem-juice-grape-concord
1655399P,Club Orange Soft Drink Can 330mL,Club,Orange Soft Drink Can,2.4,$0.73 per 100mL,330mL,,International Foods,https://shop.coles.com.au/a/national/product/club-soft-drink-can-orange
5687783P,Yeo's Lemon Tea Drink 6 pack,Yeo's,Lemon Tea Drink,3.7,$0.62 per 1Ea,6 pack,,International Foods,https://shop.coles.com.au/a/national/product/yeos-6-pack-drink-tea-lemon
4426048P,Kinor Muscat Grape Juice Bottle 750mL,Kinor,Muscat Grape Juice Bottle,6.15,$8.20 per 1L,750mL,,International Foods,https://shop.coles.com.au/a/national/product/kinor-sp-muscat-grape-juice
7226362P,Efrat Tirosh Grape Juice 1L,Efrat,Tirosh Grape Juice,8.35,$8.35 per 1L,1L,,International Foods,https://shop.coles.com.au/a/national/product/efrat-natural-sp-juice-grape-red
1655402P,Club Rock Shandy Soft Drink Can 330mL,Club,Rock Shandy Soft Drink Can,2.4,$0.73 per 100mL,330mL,,International Foods,https://shop.coles.com.au/a/national/product/club-rock-shandy
3739831P,Joiner Lychee Drink 320mL,Joiner,Lychee Drink,1.6,$0.50 per 100mL,320mL,,International Foods,https://shop.coles.com.au/a/national/product/joiner-lyche-drink-3739831p
3714477P,Ceres Guava Delight Fruit Juice 1L,Ceres,Guava Delight Fruit Juice,2.8,$2.80 per 1L,1L,Specials,International Foods,https://shop.coles.com.au/a/national/product/ceres-fruit-juice-guava-delight
2132137P,Frooti Mango Drink 500mL,Frooti,Mango Drink,1.75,$3.50 per 1L,500mL,,International Foods,https://shop.coles.com.au/a/national/product/frooti-mango-drink
3453329P,Jelly B Drinkable Konjac Jelly Peach Flavour 150mL,Jelly B,Drinkable Konjac Jelly Peach Flavour,2.7,$1.80 per 100mL,150mL,Specials,International Foods,https://shop.coles.com.au/a/national/product/jelly-b-konjac-jelly-peach-3453329p
2656422P,Fresh Up Apple & Orange Juice Can 355mL,Fresh Up,Apple & Orange Juice Can,2.3,$0.65 per 100mL,355mL,,International Foods,https://shop.coles.com.au/a/national/product/fresh-up-apple-and-orange
9743627P,Yeo's Lychee Drink 300mL,Yeo's Lychee,Drink,0.8,$2.67 per 1L,300mL,,International Foods,https://shop.coles.com.au/a/national/product/yeos-drink-lychee
2236370P,MTR Badam Drink 180mL 6 pack,MTR,Badam Drink 180mL,8.5,$1.42 per 1Ea,6 pack,,International Foods,https://shop.coles.com.au/a/national/product/mtr-badam-drink
3642864P,Jelly B Drinkable Konjac Jelly Grape Flavour 150mL,Jelly B,Drinkable Konjac Jelly Grape Flavour,2.7,$1.80 per 100mL,150mL,Specials,International Foods,https://shop.coles.com.au/a/national/product/yacoya-jelly-b-drinkable-konjac-jelly-grape
7477908P,Kedem Natural Gold Grape Juice 650mL,Kedem,Natural Gold Grape Juice,5.8,$8.92 per 1L,650mL,,International Foods,https://shop.coles.com.au/a/national/product/kedem-natural-grape-juice
6800779P,100 Plus Isotonic Drink Can 325mL,100 Plus,Isotonic Drink Can,1.3,$4.00 per 1L,325mL,,International Foods,https://shop.coles.com.au/a/national/product/100-plus--drink-isotonic
5421709P,Yoosh Aloe Vera With A Hint Of Honey Drink 1.5L,Yoosh,Aloe Vera With A Hint Of Honey Drink,3.82,$2.55 per 1L,1.5L,Specials,International Foods,https://shop.coles.com.au/a/national/product/yoosh-drink-aloe-vera
3739842P,Joiner Coconut Drink 320mL,Joiner,Coconut Drink,1.6,$0.50 per 100mL,320mL,,International Foods,https://shop.coles.com.au/a/national/product/joiner-coconut-drink-3739842p
9743605P,Yeo's Grass Jelly Drink 300mL,Yeo's Grass,Jelly Drink,0.9,$3.00 per 1L,300mL,,International Foods,https://shop.coles.com.au/a/national/product/yeos-drink-grass-jelly
6803096P,Yoosh Lychee Flavour Aloe Vera Drink 500mL,Yoosh,Lychee Flavour Aloe Vera Drink,2.85,$5.70 per 1L,500mL,,International Foods,https://shop.coles.com.au/a/national/product/yoosh-drink-lychee-aloe-vera
2404747P,Vimto Fizzy Soft Drink Can 330mL,Vimto,Fizzy Soft Drink Can,2.35,$0.71 per 100mL,330mL,,International Foods,https://shop.coles.com.au/a/national/product/vimto-soft-drink-cans-24-pack
3739820P,Joiner Strawberry Drink 320mL,Joiner,Strawberry Drink,1.6,$0.50 per 100mL,320mL,,International Foods,https://shop.coles.com.au/a/national/product/joiner-strawberry-drink-3739820p
1332152P,Uludag Orange Drink 250mL 6 pack,Uludag,Orange Drink 250mL,6.85,$4.57 per 1L,6 pack,,International Foods,https://shop.coles.com.au/a/national/product/uludag-drink-flavoured-orange-6-pack
3741196P,Yoosh Lychee Flavour Aloe Vera Drink 1.5L,Yoosh,Lychee Flavour Aloe Vera Drink,3.82,$0.25 per 100mL,1.5L,Specials,International Foods,https://shop.coles.com.au/a/national/product/yosh-aloe-vera-drink-lyche
5415273P,Yoosh Aloe Vera With A Hint Of Honey Drink 500mL,Yoosh,Aloe Vera With A Hint Of Honey Drink,2.6,$5.20 per 1L,500mL,,International Foods,https://shop.coles.com.au/a/national/product/yoosh-drink-aloe-vera-5415273p
9382245P,Malt Star Non Alcoholic Malt Drink 330mL,Malt Star,Non Alcoholic Malt Drink,1.6,$0.48 per 100mL,330mL,,International Foods,https://shop.coles.com.au/a/national/product/malt-star-drink-non-alcoholic-malt
3714466P,Ceres Litchi Sensation Fruit Juice 1L,Ceres,Litchi Sensation Fruit Juice,2.8,$2.80 per 1L,1L,Specials,International Foods,https://shop.coles.com.au/a/national/product/ceres-fruit-juice-litchi-sensation
4426059P,Kinor Rose Grape Juice 750mL,Kinor,Rose Grape Juice,6.15,$8.20 per 1L,750mL,,International Foods,https://shop.coles.com.au/a/national/product/kinor-juice-grape-rose-4426059p
1332163P,Uludag Lemonade Drink 250mL 6 pack,Uludag,Lemonade Drink 250mL,8.6,$5.73 per 1L,6 pack,,International Foods,https://shop.coles.com.au/a/national/product/uludag-drink-flavoured-lemonade-6-pack
9326583P,L & P Lemon & Paeroa Soft Drink 1.5L,L & P,Lemon & Paeroa Soft Drink,4.3,$2.87 per 1L,1.5L,,International Foods,https://shop.coles.com.au/a/national/product/l-p-soft-drink-lemon-paeroa
7477613P,Kedem Concord Grape Juice 240mL,Kedem,Concord Grape Juice,3.5,$1.46 per 100mL,240mL,,International Foods,https://shop.coles.com.au/a/national/product/kedem-concord-juice-grape
2136772P,Dr Pepper Cola Soft Drink Can 355mL,Dr Pepper,Cola Soft Drink Can,2.15,$6.06 per 1L,355mL,,International Foods,https://shop.coles.com.au/a/national/product/usa-dr-pepper-cola-can
8702635P,Irn Bru Sparkling Soft Drink Can 330mL,Irn Bru,Sparkling Soft Drink Can,1.95,$0.59 per 100mL,330mL,Specials,International Foods,https://shop.coles.com.au/a/national/product/irn-bru-cans
7223830P,Dr Pepper Soft Drink Can 330mL,Dr Pepper,Soft Drink Can,2.35,$7.12 per 1L,330mL,,International Foods,https://shop.coles.com.au/a/national/product/dr-pepper-drink-can
